suite,run,population,screen_prompts,chunk_adapters,max_loras,max_new_tokens,enforce_eager,max_num_batched_tokens,candidate_sec,screen_prompts_per_sec,eval_elapsed_s,load_s
phase8_extra_pod1,search_chunk8_p512_tok16,512,64,8,8,16,False,0,5.771723601993305,369.3903105275715,88.70833659172058,75.82525491714478
phase8_followup_pod1,search_chunk16_p512_tok16,512,64,16,16,16,False,0,5.509664237606753,352.6185112068322,92.92762279510498,77.2046148777008
phase8_sustain_pod1,search_chunk4_p1024,1024,64,4,4,32,False,0,4.790647298531131,306.6014271059924,213.74982047080994,76.52556276321411
phase8_extra_pod1,search_chunk4_p512,512,64,4,4,32,False,0,4.710190503575642,301.4521922288411,108.70048666000366,76.63742852210999
phase8_extra_pod1,search_chunk8_p1024,1024,64,8,8,32,False,0,4.356726870679609,278.830519723495,235.0388331413269,31.391082763671875
phase8_systems_pod1,search_chunk8_p512,512,64,8,8,32,,,4.355034925242909,278.72223521554616,117.56507325172424,50.59085011482239
phase8_extra_pod1,search_chunk8_p512_mbt16384,512,64,8,8,32,False,16384,4.296624478281526,274.98396661001766,119.16331124305725,76.49649405479431
phase8_extra_pod1,search_chunk12_p512,512,64,12,12,32,False,0,4.162489636436413,266.3993367319304,123.00330924987793,76.33908748626709
phase8_systems_pod1,search_chunk16_p512,512,64,16,16,32,False,0,4.136010319292394,264.7046604347132,123.79079365730286,31.870362758636475
phase8_followup_pod1,search_chunk16_p512_mbt16384,512,64,16,16,32,False,16384,4.031455822346516,258.013172630177,127.00126767158508,77.03102326393127
phase8_systems_pod1,search_chunk32_p512,512,64,32,32,32,False,0,3.790636143788384,242.60071320245657,135.0696771144867,32.42510938644409
phase8_extra_pod2,search_chunk8_p512_tok16,512,128,8,8,16,False,0,3.0862185543228224,395.0359749533213,165.89881467819214,76.78613829612732
phase8_extra_pod2,search_chunk4_p512,512,128,4,4,32,False,0,2.3788293638503357,304.490158572843,215.2319152355194,76.38911437988281
phase8_systems_pod2,search_chunk8_p512,512,128,8,8,32,False,0,2.234875855770011,286.0641095385614,229.09549927711487,51.4293692111969
phase8_extra_pod2,search_chunk8_p512_mbt16384,512,128,8,8,32,False,16384,2.2156167431537437,283.5989431236792,231.08689785003662,77.33689022064209
phase8_followup_pod1,search_chunk16_p512_eager,512,64,16,16,32,True,0,2.1279744906523472,136.19036740175022,240.60438799858093,7.926454544067383
phase8_extra_pod2,search_chunk12_p512,512,128,12,12,32,False,0,2.089530144956096,267.4598585543803,245.0311622619629,76.93601393699646
phase8_systems_pod2,search_chunk16_p512,512,128,16,16,32,False,0,2.0558392359807183,263.14742220553194,249.04671096801758,32.068140506744385
phase8_systems_pod2,search_chunk32_p512,512,128,32,32,32,False,0,1.9224046030581767,246.06778919144662,266.3331117630005,32.76598620414734
phase8_followup_pod2,search_chunk32_p512_eager,512,128,32,32,32,True,0,1.2816456203455595,164.05063940423162,399.48640394210815,8.153462886810303
