suite,run,trusted_name,candidate_name,n_common,spearman,top8_overlap,top8_possible,selected_regret_vs_trusted,pass,trusted_best_candidate,candidate_best_candidate
phase8_extra_pod1,chunk8_vs_chunk12,chunk8,chunk12,512,0.9328930680011713,5,8,0.0,False,isotropic:seed1434279788:s0.0075:sign-1,isotropic:seed1434279788:s0.0075:sign-1
phase8_extra_pod1,chunk8_vs_chunk4,chunk8,chunk4,512,0.9381708907777643,6,8,0.0,True,isotropic:seed1434279788:s0.0075:sign-1,isotropic:seed1434279788:s0.0075:sign-1
phase8_extra_pod1,tok32_vs_chunk8_tok16,tok32,tok16,512,0.42399502797063665,2,8,0.109375,False,isotropic:seed1434279788:s0.0075:sign-1,isotropic:seed608651165:s0.0075:sign-1
phase8_extra_pod2,chunk8_vs_chunk12,chunk8,chunk12,512,0.9540878940446471,5,8,0.0,False,isotropic:seed1434279788:s0.0075:sign-1,isotropic:seed1434279788:s0.0075:sign-1
phase8_extra_pod2,chunk8_vs_chunk4,chunk8,chunk4,512,0.9600809624633597,4,8,0.0078125,False,isotropic:seed1434279788:s0.0075:sign-1,isotropic:seed1582331228:s0.0075:sign-1
phase8_extra_pod2,tok32_vs_chunk8_tok16,tok32,tok16,512,0.5180812032286516,1,8,0.03125,False,isotropic:seed1434279788:s0.0075:sign-1,isotropic:seed340885965:s0.0075:sign-1
phase8_followup_pod1,compiled_vs_eager,compiled,eager,512,0.8893626812700325,5,8,0.0,False,isotropic:seed1434279788:s0.0075:sign-1,isotropic:seed1434279788:s0.0075:sign-1
phase8_followup_pod1,tok32_vs_tok16,tok32,tok16,512,0.41690432873032124,2,8,0.015625,False,isotropic:seed1434279788:s0.0075:sign-1,isotropic:seed510076361:s0.0075:sign-1
phase8_sustain_pod1,chunk8_vs_chunk4_p1024,chunk8p1024,chunk4p1024,1024,0.9432597383412447,5,8,0.015625,False,isotropic:seed500136891:s0.0075:sign1,isotropic:seed1434279788:s0.0075:sign-1
phase8_systems_pod1,chunk16_vs_chunk32,chunk16,chunk32,512,0.9341137613700374,5,8,0.0,False,isotropic:seed1434279788:s0.0075:sign-1,isotropic:seed1434279788:s0.0075:sign-1
phase8_systems_pod1,chunk16_vs_chunk8,chunk16,chunk8,512,0.934471812281709,6,8,0.0,True,isotropic:seed1434279788:s0.0075:sign-1,isotropic:seed1434279788:s0.0075:sign-1
phase8_systems_pod2,chunk16_vs_chunk32,chunk16,chunk32,512,0.9578234980018847,5,8,0.0,False,isotropic:seed1582331228:s0.0075:sign-1,isotropic:seed1582331228:s0.0075:sign-1
phase8_systems_pod2,chunk16_vs_chunk8,chunk16,chunk8,512,0.9534513626415525,5,8,0.0234375,False,isotropic:seed1582331228:s0.0075:sign-1,isotropic:seed1434279788:s0.0075:sign-1
