run,kind,family,population,stop_at_answer,max_new_tokens,base_screen_exact,base_holdout_exact,best_holdout_exact,holdout_lift,best_cap_hit_mean,best_answer_closed_mean,best_malformed_mean,candidate_sec,pair_sec,prompt_eval_savings,best_tokens_per_sec,best_prompts_per_sec,throughput_mode,best_batch_size
search_anzo_s0p02_p512_seed5678,search,anzo,512,False,32.0,0.0625,0.0625,0.15625,0.09375,0.0,1.0,0.03125,0.5269077388386155,16.861047642835697,,,,native,
search_iso_s0p01_p512_seed5678,search,isotropic,512,,,0.0625,0.0625,0.15625,0.09375,,,0.03125,0.526833563699554,16.85867403838573,,,,native,
search_iso_s0p0075_p512_seed2468,search,isotropic,512,False,32.0,0.0625,0.0625,0.15625,0.09375,0.03125,1.0,0.0625,0.3151149100896786,10.083677122869716,,,,native,
halving_anzo_s0p02_p1024_seed9012,halving,anzo,1024,False,32.0,0.0625,0.0625,0.15625,0.09375,0.0,1.0,0.0,0.5837005076672914,,0.6848249027237354,,,native,
sigma_iso_p64_s0p01,search,isotropic,64,,,0.0625,0.0625,0.15625,0.09375,,,0.0625,0.49918016675053206,15.973765336017026,,,,native,
halving_iso_s0p01_p256,halving,isotropic,256,,,0.0625,0.0625,0.15625,0.09375,,,0.0625,0.8210261122325863,,0.6153846153846154,,,native,
vllm_lora_search_iso_s0p0075_p512_stop,vllm_lora_search,isotropic,512,True,32.0,0.09375,0.0625,0.15625,0.09375,0.125,1.0,0.03125,10.533779271786715,,,5474.492474506278,343.1716380823623,native,
search_anzo_s0p015_p512_seed2468,search,anzo,512,False,32.0,0.0625,0.0625,0.15625,0.09375,0.0,1.0,0.0,0.3155448393442792,10.097434859016934,,,,native,
anzo_sigma_p64_s0p02,search,anzo,64,,,0.0625,0.0625,0.125,0.0625,,,0.0,0.49505055497989553,15.841617759356657,,,,native,
search_anzo_p64,search,anzo,64,,,0.0625,0.0625,0.125,0.0625,,,0.0,0.4981467389841842,15.940695647493895,,,,native,
sigma_iso_p64_s0p005,search,isotropic,64,,,0.0625,0.0625,0.125,0.0625,,,0.03125,0.5054203531864688,16.173451301967003,,,,native,
search_anzo_p32,search,anzo,32,,,0.0625,0.0625,0.125,0.0625,,,0.0,0.4523577358781101,14.475447548099524,,,,native,
halving_iso_s0p01_p1024_seed9012,halving,isotropic,1024,False,32.0,0.0625,0.0625,0.125,0.0625,0.34375,1.0,0.15625,0.9237761966889505,,0.6848249027237354,,,native,
halving_anzo_p128,halving,anzo,128,,,0.0625,0.0625,0.125,0.0625,,,0.0,0.8169427071217635,,0.6060606060606061,,,native,
vllm_lora_search_iso_s0p01_p512_stop,vllm_lora_search,isotropic,512,True,32.0,0.09375,0.09375,0.125,0.03125,0.375,1.0,0.1875,9.929700505051764,,,5959.880616638506,323.4769202990906,native,
anzo_sigma_p64_s0p01,search,anzo,64,,,0.0625,0.0625,0.125,0.0625,,,0.0,0.49896266463718536,15.966805268389932,,,,native,
search_iso_s0p0125_p512_seed2468,search,isotropic,512,False,32.0,0.0625,0.0625,0.09375,0.03125,0.75,1.0,0.171875,0.3159172649000986,10.109352476803155,,,,native,
anzo_sigma_p64_s0p04,search,anzo,64,,,0.0625,0.0625,0.09375,0.03125,,,0.0,0.49564121373502146,15.860518839520687,,,,native,
phase4_covlite_sigma001_p128,adaptive_search,,0,,,0.0625,0.0625,0.09375,0.03125,,,0.15625,0.5177723140135836,,,,,native,
anzo_sigma_p64_s0p005,search,anzo,64,,,0.0625,0.0625,0.09375,0.03125,,,0.0,0.497809151090641,15.929892834900512,,,,native,
halving_iso_p128,halving,isotropic,128,,,0.0625,0.0625,0.0,-0.0625,,,0.0,0.8167123248652334,,0.6060606060606061,,,native,
phase3_hybrid_covlite_p96,adaptive_search,,0,,,0.0625,0.0625,0.0,-0.0625,,,0.0,0.4947446696000778,,,,,native,
sigma_iso_p64_s0p02,search,isotropic,64,,,0.0625,0.0625,0.0,-0.0625,,,0.0,0.5022730805048479,16.072738576155132,,,,native,
phase3_elite_basis_p96,adaptive_search,,0,,,0.0625,0.0625,0.0,-0.0625,,,0.0,0.4916712336180911,,,,,native,
search_iso_p32,search,isotropic,32,,,0.0625,0.0625,0.0,-0.0625,,,0.0,0.47324650642030824,15.143888205449864,,,,native,
sigma_iso_p64_s0p04,search,isotropic,64,,,0.0625,0.0625,0.0,-0.0625,,,0.0,0.49925188784210595,15.97606041094739,,,,native,
search_iso_p64,search,isotropic,64,,,0.0625,0.0625,0.0,-0.0625,,,0.0,0.4995940757338628,15.987010423483609,,,,native,
